,youtube_id,original_label,normalized_label
541,IYRKFkkyxh0,not about misinfo,0.0
542,xYemnKEKx0c,not about misinfo,0.0
543,KI4dvc8WeSE,not about misinfo,0.0
544,lzRvSWPZQYk,not about misinfo,0.0
545,D0-JbxX209g,not about misinfo,0.0
546,tCRjz1fyOE4,not about misinfo,0.0
547,-2282NrXjq4,debunking,-1.0
548,4ljKpK13BO0,not about misinfo,0.0
549,ror9v2LwHoY,not about misinfo,0.0
550,4ml6r7cuKe8,debunking,-1.0
551,a1I7QBCHqng,not about misinfo,0.0
552,6Vc2bM2aQsw,not about misinfo,0.0
553,hFYAUOtblJw,debunking,-1.0
554,3BNg4fDJC8A,not about misinfo,0.0
555,_LhAt0nWbSw,not about misinfo,0.0
556,FHAA_1Guxlo,not about misinfo,0.0
557,KC8qr-U9ehU,promoting,1.0
558,q3d3rzFTrLg,not about misinfo,0.0
559,26qYrSNYJXM,not about misinfo,0.0
560,qfAw4YvI_u0,not about misinfo,0.0
561,aPBVGXdsR0I,not about misinfo,0.0
562,v0Cg2ZeYa5E,not about misinfo,0.0
563,g37s7vVFy1A,not about misinfo,0.0
564,9V85OykSDT8,not about misinfo,0.0
565,qTEdH9r51gw,not about misinfo,0.0
566,KkGPrYH3GJc,not about misinfo,0.0
567,hanBSygUePQ,not about misinfo,0.0
568,UxXjQSUKP1U,not about misinfo,0.0
569,GyE55eB9Afc,not about misinfo,0.0
570,2hmDrJQA6Ik,debunking,-1.0
571,5trNlmGYFkc,not about misinfo,0.0
572,0NnEijB1MHc,debunking,-1.0
573,Chfoo9NBEow,not about misinfo,0.0
574,WMCXHewLIWc,not about misinfo,0.0
575,EgiMu8A3pi0,not about misinfo,0.0
576,_FlV6pgwlrk,not about misinfo,0.0
577,Cv_48qFhoO4,not about misinfo,0.0
